episode,timestep,reward
20786,1268000,-29.9375
20819,1270000,-24.2424
20852,1272000,-11.2167
20885,1274000,-23.6788
20918,1276000,-23.1773
20950,1278000,-37.6656
20983,1280000,-20.5924
21016,1282000,-16.8091
21049,1284000,-22.0773
21081,1286000,-17.575
21114,1288000,-25.5424
21147,1290000,-21.2621
21180,1292000,-20.6076
21213,1294000,-10.65
21245,1296000,-29.2672
21278,1298000,-21.3242
21311,1300000,-13.8818
21344,1302000,-30.3545
21377,1304000,-16.7742
21409,1306000,-5.2594
21442,1308000,-14.0773
21475,1310000,-25.5727
21508,1312000,-35.6
21540,1314000,-21.3281
21573,1316000,-18.7955
21606,1318000,-18.5439
21639,1320000,-13.6818
21672,1322000,-21.6121
21704,1324000,-22.0875
21737,1326000,-17.3409
21770,1328000,-25.5576
21803,1330000,-13.7758
21836,1332000,-16.1712
21868,1334000,-8.7109
21901,1336000,-32.9909
21934,1338000,-25.5485
21967,1340000,-16.2909
21999,1342000,-15.1734
22032,1344000,-27.4121
22065,1346000,-12.8485
22098,1348000,-26.0439
22131,1350000,-24.9697
22163,1352000,-29.2172
22196,1354000,-24.2409
22229,1356000,-19.2909
22262,1358000,-12.7727
22295,1360000,-33.55
22327,1362000,-25.1125
22360,1364000,-18.9015
22393,1366000,-20.2455
22426,1368000,-27.0561
22459,1370000,-24.547
22491,1372000,-7.5984
22524,1374000,-28.4924
22557,1376000,-18.6485
22590,1378000,-5.6955
22622,1380000,-17.7141
22655,1382000,-4.5303
22688,1384000,-25.2697
22721,1386000,-14.1091
22754,1388000,-2.85
22786,1390000,-20.6797
22819,1392000,-28.6697
22852,1394000,-25.4424
22885,1396000,-8.3409
22918,1398000,-27.7409
22950,1400000,-25.925
22983,1402000,-29.8106
23016,1404000,-15.1606
23049,1406000,-29.7364
23081,1408000,-11.1812
23114,1410000,-24.4424
23147,1412000,-22.0439
23180,1414000,-32.5636
23213,1416000,-23.2576
23245,1418000,-18.1062
23278,1420000,-15.8939
23311,1422000,-20.7348
23344,1424000,-19.3591
23377,1426000,-19.0076
23409,1428000,-22.7047
23442,1430000,-39.7197
23475,1432000,-20.2864
23508,1434000,-13.1773
23540,1436000,-22.3156
23573,1438000,-24.0106
23606,1440000,-17.2227
23639,1442000,-14.5848
23672,1444000,-22.847
23704,1446000,-29.7609
23737,1448000,-37.7758
23770,1450000,-1.1848
23803,1452000,-15.4924
23836,1454000,-36.7303
23868,1456000,-32.3859
23901,1458000,-33.9909
23934,1460000,-26.997
23967,1462000,-18.297
23999,1464000,-20.2281
24032,1466000,-23.147
24065,1468000,-9.4409
24098,1470000,-24.6045
24131,1472000,-31.1621
24163,1474000,-15.7109
24196,1476000,-11.4652
24229,1478000,-12.2697
24262,1480000,-24.5045
24295,1482000,-28.5106
24327,1484000,-16.7062
24360,1486000,-14.3742
24393,1488000,-23.7227
24426,1490000,-24.7924
24459,1492000,-19.1758
24491,1494000,-20.9984
24524,1496000,-34.0258
24557,1498000,-27.7985
24590,1500000,-19.5379
24622,1502000,-34.8406
24655,1504000,-18.6561
24688,1506000,-22.9682
24721,1508000,-17.0303
24754,1510000,-21.0773
24786,1512000,-19.225
24819,1514000,-18.9273
24852,1516000,-31.2636
24885,1518000,-26.5409
24918,1520000,-23.2864
24950,1522000,-28.8859
24983,1524000,-23.75
25016,1526000,-18.1985
25049,1528000,-17.6424
25081,1530000,-18.9703
25114,1532000,-22.2015
25147,1534000,-28.1485
25180,1536000,-18.5788
25213,1538000,-31.2939
25245,1540000,-20.7141
25278,1542000,-25.1242
25311,1544000,-19.4182
25344,1546000,-18.7318
25377,1548000,5.6379
25409,1550000,-18.9688
25442,1552000,-28.0318
25475,1554000,-23.7773
25508,1556000,-21.6091
25540,1558000,-22.3156
25573,1560000,-19.6742
25606,1562000,-26.6136
25639,1564000,-18.8606
25672,1566000,-22.6424
25704,1568000,-38.7609
25737,1570000,-29.9682
25770,1572000,-18.2712
25803,1574000,-26.25
25836,1576000,-19.1818
25868,1578000,-18.1203
25901,1580000,-23.753
25934,1582000,-31.4894
25967,1584000,-26.5485
25999,1586000,-24.0344
26032,1588000,-13.0409
26065,1590000,-25.1273
26098,1592000,-25.2197
26131,1594000,-22.8545
26163,1596000,-32.0719
26196,1598000,1.5606
26229,1600000,-26.5061
26262,1602000,-33.4015
26295,1604000,-21.6439
26327,1606000,-29.4297
26360,1608000,-32.7394
26393,1610000,-33.2515
26426,1612000,-28.9985
26459,1614000,-21.5985
26491,1616000,-21.65
26524,1618000,-20.303
26557,1620000,-23.2015
26590,1622000,-21.7424
26622,1624000,-30.3266
26655,1626000,-27.9682
26688,1628000,-9.347
26721,1630000,-14.6
26754,1632000,-23.7879
26786,1634000,-15.1859
26819,1636000,-10.9773
26852,1638000,-20.9364
26885,1640000,-19.853
26918,1642000,-16.0985
26950,1644000,-22.5328
26983,1646000,-23.0318
27016,1648000,-23.9485
27049,1650000,-35.1348
27081,1652000,-25.4969
27114,1654000,-28.5773
27147,1656000,-17.4106
27180,1658000,-39.4136
27213,1660000,-18.6697
27245,1662000,-22.8188
27278,1664000,-20.7864
27311,1666000,-17.5788
27344,1668000,-34.6258
27377,1670000,-20.1
27409,1672000,-11.2703
27442,1674000,-16.2803
27475,1676000,-9.503
27508,1678000,-23.247
27540,1680000,-22.5531
27573,1682000,-11.8076
27606,1684000,-14.5076
27639,1686000,-34.7045
27672,1688000,-18.0258
27704,1690000,-16.7641
27737,1692000,-30.7485
27770,1694000,-19.8758
27803,1696000,-14.003
27836,1698000,-28.8576
27868,1700000,-15.5234
27901,1702000,-20.3364
27934,1704000,-11.7561
27967,1706000,-29.5091
27999,1708000,-13.8766
28032,1710000,-22.5682
28065,1712000,-7.9045
28098,1714000,-22.0
28131,1716000,-28.1985
28163,1718000,-26.7766
28196,1720000,-26.547
28229,1722000,-19.2152
28262,1724000,-24.2424
28295,1726000,-18.2015
28327,1728000,-9.9469
28360,1730000,-20.9258
28393,1732000,-22.2515
28426,1734000,-21.8833
28459,1736000,-27.7561
28491,1738000,-14.0719
28524,1740000,-8.9197
28557,1742000,-22.0985
28590,1744000,-25.2455
28622,1746000,-27.7109
28655,1748000,-7.4197
28688,1750000,-19.7258
28721,1752000,-20.9985
28754,1754000,-28.3833
28786,1756000,-28.6094
28819,1758000,-25.7197
28852,1760000,-32.0682
28885,1762000,-10.1985
28918,1764000,-21.6924
28950,1766000,-30.7531
28983,1768000,-15.9242
29016,1770000,-24.6045
29049,1772000,-8.6379
29081,1774000,-26.3547
29114,1776000,-25.8121
29147,1778000,-19.7833
29180,1780000,-23.9258
29213,1782000,-35.5848
29245,1784000,-22.0234
29278,1786000,-21.8667
29311,1788000,-4.0258
29344,1790000,-14.8924
29377,1792000,-24.3864
29409,1794000,-20.2312
29442,1796000,-5.5136
29475,1798000,-6.197
29508,1800000,-17.4379
29540,1802000,-26.5391
29573,1804000,-16.55
29606,1806000,-31.4955
29639,1808000,-22.4015
29672,1810000,-28.8879
29704,1812000,-25.8109
29737,1814000,-51.0076
29770,1816000,-6.4333
29803,1818000,-11.4955
29836,1820000,-14.5121
29868,1822000,-5.9906
29901,1824000,-15.1136
29934,1826000,-19.5788
29967,1828000,-19.4
29999,1830000,-30.1594
30032,1832000,-14.3894
30065,1834000,-13.2939
30098,1836000,-20.8894
30131,1838000,-19.2985
30163,1840000,-18.7375
30196,1842000,-19.3242
30229,1844000,-24.5894
30262,1846000,-15.4576
30295,1848000,-17.6152
30327,1850000,-22.9344
30360,1852000,-41.4
30393,1854000,-35.5061
30426,1856000,-30.6909
30459,1858000,-18.1894
30491,1860000,-7.5469
30524,1862000,-26.6515
30557,1864000,-21.3742
30590,1866000,-16.9788
30622,1868000,-2.3703
30655,1870000,-30.4591
30688,1872000,-26.1439
30721,1874000,-17.9167
30754,1876000,-17.9106
30786,1878000,-17.6937
30819,1880000,-24.4879
30852,1882000,-38.7939
30885,1884000,-24.1121
30918,1886000,-11.5955
30950,1888000,-16.6875
30983,1890000,-20.4288
31016,1892000,-20.2015
31049,1894000,-33.0939
31081,1896000,-22.8875
31114,1898000,-23.6833
31147,1900000,-10.9909
31180,1902000,-10.0303
31213,1904000,-13.3833
31245,1906000,-9.825
31278,1908000,-20.8424
31311,1910000,-17.6788
31344,1912000,-12.9364
31377,1914000,-27.2515
31409,1916000,-12.3781
31442,1918000,-20.2076
31475,1920000,-23.4985
31508,1922000,-4.6697
31540,1924000,-12.9828
31573,1926000,-10.1879
31606,1928000,-12.9485
31639,1930000,-24.5
31672,1932000,-26.9727
31704,1934000,-24.8047
31737,1936000,-12.6182
31770,1938000,-19.2167
31803,1940000,-20.0045
31836,1942000,-21.4879
31868,1944000,-26.6641
31901,1946000,-23.7197
31934,1948000,-24.6227
31967,1950000,-22.1212
31999,1952000,-12.5516
32032,1954000,-23.6939
32065,1956000,-12.7833
32098,1958000,-27.8697
32131,1960000,-38.8242
32163,1962000,-19.8062
32196,1964000,-8.8848
32229,1966000,-26.8091
32262,1968000,-22.1152
32295,1970000,-25.2
32327,1972000,-14.0156
32360,1974000,-25.3288
32393,1976000,-27.7727
32426,1978000,-2.2379
32459,1980000,-33.4348
32491,1982000,-10.0406
32524,1984000,-15.5864
32557,1986000,-8.2212
32590,1988000,-14.6212
32622,1990000,-18.8422
32655,1992000,-30.0803
32688,1994000,-40.4636
32721,1996000,-23.5909
32754,1998000,-14.6545
32786,2000000,-21.4437
32819,2002000,-31.0818
32852,2004000,-29.6697
32885,2006000,-21.5636
32918,2008000,-18.7697
32950,2010000,-14.2469
32983,2012000,-22.4697
33016,2014000,-32.5318
33049,2016000,-24.2182
33081,2018000,-29.8703
33114,2020000,-17.3667
33147,2022000,-31.0348
33180,2024000,-17.0788
33213,2026000,-19.1848
33245,2028000,-6.7453
33278,2030000,-24.5439
33311,2032000,-29.0803
33344,2034000,-23.8182
33377,2036000,-29.6848
33409,2038000,-24.0359
33442,2040000,-19.8742
33475,2042000,-25.7455
33508,2044000,-22.2848
33540,2046000,-18.2672
33573,2048000,-23.0182
33606,2050000,-22.9
33639,2052000,-22.2939
33672,2054000,-20.403
33704,2056000,-19.1156
33737,2058000,-16.0485
33770,2060000,-37.2121
33803,2062000,-21.2576
33836,2064000,-13.7818
33868,2066000,-18.8797
33901,2068000,-25.5909
33934,2070000,-27.4348
33967,2072000,-22.3242
33999,2074000,-27.6516
34032,2076000,-14.2939
34065,2078000,-23.5561
34098,2080000,-25.7924
34131,2082000,-11.2955
34163,2084000,-21.3594
34196,2086000,-33.0894
34229,2088000,-12.8788
34262,2090000,-16.8606
34295,2092000,-36.8894
34327,2094000,-34.3562
34360,2096000,-27.5697
34393,2098000,-11.5167
34426,2100000,-15.2985
34459,2102000,-15.4015
34491,2104000,-24.025
34524,2106000,-17.4591
34557,2108000,-22.9167
34590,2110000,-14.8455
34622,2112000,-25.625
34655,2114000,-15.0394
34688,2116000,-17.0833
34721,2118000,-17.3091
34754,2120000,-17.1303
34786,2122000,-7.5875
34819,2124000,-26.8576
34852,2126000,-21.9258
34885,2128000,-12.0621
34918,2130000,-13.0273
34950,2132000,-18.1219
34983,2134000,-19.7727
35016,2136000,-20.7485
35049,2138000,-20.0076
35081,2140000,-32.5609
35114,2142000,-14.3939
35147,2144000,-10.4803
35180,2146000,-40.047
35213,2148000,-16.8288
